id,Size of chocolate pool,Date of entry,Country funded by,Height of pipe,oompa loomper,longitude,Lattitude,Cocoa farm,Country of factory,Region code,District code,Location,Chocolate consumers in town,Does factory offer tours,Recorded by,Oompa loompa management,Official or Unofficial pipe,Year constructed,Type of pump,management,management_group,Payment scheme,chocolate_quality,chocolate_quantity,chocolate_source,chocolate_source_class,pipe_type
71141,0,3/15/14,,1239,,235.8411392,321.664266,4,9578,327,2,110,1001,FALSE,Chocolate Lovers Consultants Ltd,6,,2005,3,5,user-group,0,0,0,0,0,0
33880,0,2/2/14,41,1277,5,230.0249153,320.0579962,5,4418,341,4,19,1150,FALSE,Chocolate Lovers Consultants Ltd,0,Official pipe,1999,3,0,user-group,6,0,0,6,1,0
29168,700,3/16/14,18,856,14,237.5061541,320.9951233,2,14700,328,4,18,1750,TRUE,Chocolate Lovers Consultants Ltd,7,Unofficial pipe,2017,4,0,user-group,3,1,0,3,0,2
15743,0,2/23/12,140,400,5,238.8802543,317.2631546,7,5171,385,54,108,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2010,7,0,user-group,0,0,0,3,0,0
28450,0,2/17/14,336,1780,5,235.6493502,320.6471787,4,3940,346,2,84,1050,,Chocolate Lovers Consultants Ltd,0,Official pipe,2014,8,0,user-group,0,0,0,5,0,2
48952,3800,1/29/14,20,1099,5,229.8205445,320.1174975,5,11486,341,4,19,1135,TRUE,Chocolate Lovers Consultants Ltd,4,Official pipe,1984,3,0,user-group,2,0,0,6,1,1
37939,0,7/20/12,53,0,86,0,325,1,15957,344,7,36,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,0,0,user-group,3,0,1,3,0,2
70142,0,3/6/12,20,697,5,235.6595837,315.9843622,7,1385,330,4,43,1150,TRUE,Chocolate Lovers Consultants Ltd,,Official pipe,2013,8,0,user-group,0,3,1,5,0,2
6733,250,1/25/14,,1901,,234.8815851,320.1169652,4,10804,338,3,32,1400,TRUE,Chocolate Lovers Consultants Ltd,0,,2005,14,0,user-group,4,0,1,3,0,0
73441,0,7/29/12,11,0,5,230.58339,322.5473173,1,2825,343,31,88,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,3,0,user-group,0,0,2,0,0,0
65068,0,10/15/13,7,0,11,234.157517,321.9492976,1,18849,342,7,13,0,TRUE,Chocolate Lovers Consultants Ltd,4,Official pipe,0,8,1,user-group,0,0,0,5,0,2
31404,0,10/24/13,233,1695,1904,234.6726297,323.2629608,1,17266,345,3,1,1753,FALSE,Chocolate Lovers Consultants Ltd,1,,2016,3,2,other,6,0,1,1,1,0
12420,0,2/21/12,32,226,484,239.2210596,317.9963762,6,8428,385,44,9,1130,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2008,8,0,user-group,0,3,4,5,0,2
25534,400,3/10/12,39,1869,23,234.4015168,315.3845952,0,331,336,4,31,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2013,3,0,user-group,3,0,0,0,0,0
48435,0,7/13/12,20,0,32,230.818259,322.472685,1,5313,343,31,88,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,12,0,user-group,0,0,0,0,0,0
42778,0,3/12/12,39,1894,31,234.941622,316.5833929,7,357,336,3,86,0,FALSE,Chocolate Lovers Consultants Ltd,0,Official pipe,2005,8,0,user-group,0,0,0,5,0,2
21175,0,1/22/14,20,523,254,238.8179312,314.5111813,3,274,333,4,117,1380,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1984,9,0,user-group,0,3,2,3,0,0
53856,240,3/4/12,1783,241,5,238.9741348,319.6290184,2,16493,329,6,115,1015,FALSE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,14,0,user-group,4,1,3,3,0,0
53449,230,1/11/14,,1808,,234.8685985,320.3354435,4,897,338,3,32,1001,,Chocolate Lovers Consultants Ltd,0,,2005,7,0,user-group,4,3,2,3,0,0
29814,0,2/18/14,94,1170,5,235.4165072,314.4163666,3,3462,335,3,60,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2014,3,0,user-group,0,0,1,6,1,0
1421,0,1/15/14,68,0,730,232.6844204,321.4702687,1,4676,342,4,7,0,TRUE,Chocolate Lovers Consultants Ltd,,Official pipe,0,3,9,unknown,6,3,4,8,1,3
14329,0,1/20/14,80,0,72,0,325,1,2875,342,2,17,0,TRUE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,0,8,1,user-group,0,0,0,5,0,2
20268,400,2/23/14,63,1463,56,236.3289556,319.4814514,6,12085,346,6,71,1400,TRUE,Chocolate Lovers Consultants Ltd,8,Official pipe,2008,9,6,commercial,4,0,1,3,0,3
3538,0,2/27/12,86,392,430,238.5887853,318.6197992,6,7912,331,2,24,1035,FALSE,Chocolate Lovers Consultants Ltd,9,Unofficial pipe,2013,4,3,commercial,0,1,1,5,0,2
21603,0,2/20/12,118,1541,343,234.6229813,315.0268336,0,12761,336,6,0,1001,FALSE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1979,3,0,user-group,0,0,0,0,0,0
5970,0,10/14/13,324,0,5,233.716093,321.3018856,4,16847,342,9,50,0,FALSE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,0,9,1,user-group,6,0,0,5,0,3
30018,0,2/4/14,109,1506,270,230.6123607,321.0607374,5,7391,341,2,30,1180,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2009,8,0,user-group,6,0,3,5,0,2
34633,450,2/14/14,114,1620,105,230.1097622,320.6240998,5,12538,341,3,45,1320,TRUE,Chocolate Lovers Consultants Ltd,7,Official pipe,2001,3,4,user-group,3,0,0,6,1,0
19597,0,7/19/12,16,0,5,233.209984,322.4092294,1,767,344,3,80,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,9,0,user-group,0,1,1,5,0,2
61811,0,11/14/13,7,0,11,234.3825517,322.0018412,1,7044,342,7,13,0,TRUE,Chocolate Lovers Consultants Ltd,4,Official pipe,0,8,1,user-group,0,0,0,5,0,2
1683,0,10/16/13,59,0,5,234.008102,321.7268277,4,8595,342,3,11,0,TRUE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,0,8,1,user-group,1,0,0,5,0,2
13006,0,8/2/12,20,0,5,230.6793593,323.7593772,1,5638,343,2,4,0,TRUE,Chocolate Lovers Consultants Ltd,4,Official pipe,0,3,0,user-group,0,0,0,0,0,0
61711,0,7/19/12,137,0,5,231.459226,322.1631101,5,2754,343,5,66,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,0,user-group,0,0,3,1,1,0
31278,0,8/6/12,,0,,233.7050453,315.9249659,0,8900,337,5,34,0,TRUE,Chocolate Lovers Consultants Ltd,0,,0,3,0,user-group,0,0,0,0,0,0
58535,0,4/1/12,610,0,23,235.7445349,318.6285432,7,468,326,6,55,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,7,0,user-group,0,0,2,3,0,1
57864,12200,2/25/14,168,1217,5,235.3454539,315.1099387,0,230,335,3,60,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2007,3,0,user-group,2,0,0,6,1,0
16448,0,7/12/12,12,0,409,231.5752621,323.4994541,1,8481,343,3,38,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,0,user-group,0,0,0,1,1,0
9947,300,3/13/14,,1624,,236.6865029,321.6409968,2,9506,327,4,122,1001,FALSE,Chocolate Lovers Consultants Ltd,5,,2005,14,4,user-group,4,0,1,3,0,0
34892,300,3/14/12,20,2337,23,234.0032707,315.7294969,0,14668,336,4,31,0,TRUE,Chocolate Lovers Consultants Ltd,6,Unofficial pipe,1994,3,5,user-group,3,0,0,0,0,0
36124,0,3/14/12,72,1742,35,234.9439027,315.2213293,0,1145,336,6,0,1378,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2003,11,0,user-group,5,0,2,6,1,0
65121,0,3/9/12,189,539,189,237.6124857,318.8633608,6,2263,330,7,69,1030,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2015,14,0,user-group,0,1,2,3,0,0
25986,230,3/16/14,20,1183,5,236.8289464,321.5061785,2,1666,327,3,26,1150,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1985,3,0,user-group,4,0,1,0,0,0
73938,0,3/22/14,375,2339,5,236.7238561,321.8412312,4,2529,327,3,26,1150,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2005,3,0,user-group,0,4,0,0,0,3
58377,0,1/25/14,173,1378,5,233.2898704,322.9061143,1,9311,345,5,70,1250,FALSE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,2003,9,1,user-group,0,0,0,5,0,3
17186,0,7/11/12,85,0,5,231.459034,323.805427,1,90,343,8,58,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,4,0,user-group,3,0,1,3,0,2
39684,0,3/26/12,172,1189,5,237.504986,317.9496108,6,9626,330,7,69,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2004,9,0,user-group,0,3,1,5,0,3
2887,0,7/10/12,245,0,100,230.6277839,322.5865518,1,15389,343,31,88,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,3,0,user-group,0,0,0,0,0,3
